original_comment,clean_text,author,author_url,comment_id
9,i will never accept islam beacuse of few reasons i dont want to eat meat i am comfortable in my religion most but i respect islam muhhmad and allah very much assalamualikum to them who are momim,@ProzGamerz-w6f,https://www.youtube.com/channel/UCGs2cEGXV794inCksakF37g,UgyQBXQ1WqrDMn74crF4AaABAg
8,its outdated and i would be dead because they dont believe in advanced sciences,@user-qz2nz6cq8y,https://www.youtube.com/channel/UC_jvoOAdns3YMWxKnLX3biw,UgxipJmg5oHE8E6ThSJ4AaABAg
5,modern,@Duffman089,https://www.youtube.com/channel/UCBwUta9jQb3BSpOD5C2AYeg,Ugwh5AATt4HfiXrowzF4AaABAg
7,heres the true reason why people hate islam suicide bombingsclassic terrorism and not hesitating to commit genocide and beheads innocent people kidnap for ransom business brainwashing,@boychaku1525,https://www.youtube.com/channel/UC62tdf57PwVkzOsU1j73Rsg,Ugyr7GuuVnpVNLJ4qfZ4AaABAg
7,why believe in ts while theyre all fake,@Roham_YTRRoham_YTR,https://www.youtube.com/channel/UCM18gxlkIRgzkilHOaAvCrA,UgwMSoGdQhpKzz8jUtV4AaABAg
😊,thats not the reason bro tryna make islam the best but still cant,@BLINKY-NINIOFFICIAL,https://www.youtube.com/channel/UCNXFl4YkG8axdzobBKVxU4A,UgyYfoC2jZ9Lw4_t2xh4AaABAg
5,gender inequality,@ajaysurendran3859,https://www.youtube.com/channel/UCJEBDKdkq6sk3rSx19dPFcg,UgxmU1_O1cUXeFt8EbF4AaABAg
7,blasphemy,@ajaysurendran3859,https://www.youtube.com/channel/UCJEBDKdkq6sk3rSx19dPFcg,UgwJnuAZDeeruKOt7zR4AaABAg
7,mashallah mashallah mashallah mashallah,@SufiyanQureshi-p9m,https://www.youtube.com/channel/UCM_to03DD113cRfwpGtORtw,Ugx0y4F-P_n-6xgmCTh4AaABAg
7,your personal experience define religion if abusbe religion harsh comfort reward i see harsh,@IdkSigma-x5i,https://www.youtube.com/channel/UCri4nuOfK6JzxcRznpmVXKw,UgySlQxWksgzQv6t-314AaABAg
5,people say they respect all religons but when it comes to islam they hate it make it make seance,@KareemRamgarib,https://www.youtube.com/channel/UCmjh9bC80Xmo51T-yVR7Bbw,Ugyyz3DdXuTjupjG8I14AaABAg
6,are you hindu,@the.orphanboy,https://www.youtube.com/channel/UC1BRuVrZfiaZ8BZQRlVGvLw,UgyQBXQ1WqrDMn74crF4AaABAg.ATiGAD8GmJcATn1U7sBYMg
7,yes,@ProzGamerz-w6f,https://www.youtube.com/channel/UCGs2cEGXV794inCksakF37g,UgyQBXQ1WqrDMn74crF4AaABAg.ATiGAD8GmJcATnsKvtjOnM
8,islam is the best for us be respectful,@Miku_Bae,https://www.youtube.com/channel/UCXO-BcjyPcN-SyEG7o4cFmA,UgyYfoC2jZ9Lw4_t2xh4AaABAg.ATD60k2NUgdAVVW4-wt22Z
73,sorry but i cant and that isnt the truth,@BLINKY-NINIOFFICIAL,https://www.youtube.com/channel/UCNXFl4YkG8axdzobBKVxU4A,UgyYfoC2jZ9Lw4_t2xh4AaABAg.ATD60k2NUgdAVVm4ojXBrP
27,i used to respect islam i was ok with the hijab the prayers i learned to read arabic i had muslim friends but they never respected my religion just because i respect theirs they expect me to disregard mine they talk shit about my religion my female hijabi friends sut shame me on a regular basis this started when i was years old i wear a dress they tell me that men will look at me badly at years old ive respected them they dont reciprocate as ive gotten older my mother seperated me from those friends even she used to respect islam but now we cant do this anymore the men act righteous and cover their women and harass christainhindu women especially young girls,@im_anotakubestie-0909,https://www.youtube.com/channel/UC_0mQB7WELZ2-b_7_CGHR3A,Ugyyz3DdXuTjupjG8I14AaABAg.ASrpJD8tYPjATCrIxIRzr3
Yw,i dont think so im muslim and i had christian friends in my neighborhood and when holidays would arrive we would enjoy time together,@KevinPlays-w6g,https://www.youtube.com/channel/UCNRN0zOzIos3EF2zljGwTAQ,Ugyyz3DdXuTjupjG8I14AaABAg.ASrpJD8tYPjATIjBpegbXZ
❤,most mordern religion,@Lookinatme999,https://www.youtube.com/channel/UCMkz3MK7fIjCLsQeJh2c3dQ,Ugxgc0K62rICaFLeuFt4AaABAg
62,no because its fake,@ILUVDTIVD,https://www.youtube.com/channel/UCnqwdj_E__VHyGTlC2HVhQw,UgxCSs-aU_dmtwcITg54AaABAg
91😊,islam is not unique it is just another version of christianity and judaism it is conservative bcz it did not adapt modern things or simply did not evolved with time when something do not evolve with time time destroy it,@Not_a_soul-g15,https://www.youtube.com/channel/UCkbda0ZwJSopgfOX_XAS77g,Ugwy-JEne0JQoFhNhMF4AaABAg
Ye,i dont hate islam but they are racist to me because im asian,@PoppyEditzT,https://www.youtube.com/channel/UChcfT-LlbqFIrEBLhOjC1QQ,UgwtKa3MHZ7qO76BqBt4AaABAg
63,religious,@randomstuffers6011,https://www.youtube.com/channel/UCJnHT_hQq9cUsr1ODCkIuTw,UgxXTDDzUHKkbXmSCs14AaABAg
72,its false it needs the bible to survive and momo was a beast need we go on,@gunnergowing9342,https://www.youtube.com/channel/UCUaMRFK41O_vQ6FQvlHon-g,UgwUW8exTobT9vZvzex4AaABAg
I love it❤,because of child marriage,@republic_walgo,https://www.youtube.com/channel/UC8_RnwgVddDYV0d7397o6Mg,UgxW5a8w4wm6RdZf8vN4AaABAg
